LatD,LatM,LatS,NS,LonD,,LonS,EW,City,State
33,45,35,N,117,388,12,W,Santa Ana, CA
37,20,24,N,121,389,47,W,San Jose, CA
37,46,47,N,122,390,11,W,San Francisco, CA
41,27,0,N,82,391,35,W,Sandusky, OH
32,42,35,N,117,392,0,W,San Diego, CA
34,6,36,N,117,393,35,W,San Bernardino, CA
29,25,12,N,98,394,0,W,San Antonio, TX
31,27,35,N,100,395,24,W,San Angelo, TX
40,45,35,N,111,396,47,W,Salt Lake City, UT
38,22,11,N,75,397,59,W,Salisbury, MD
36,40,11,N,121,398,0,W,Salinas, CA
38,50,24,N,97,399,36,W,Salina, KS
38,31,47,N,106,400,0,W,Salida, CO
44,56,23,N,123,401,47,W,Salem, OR
44,57,0,N,93,402,59,W,Saint Paul, MN
38,37,11,N,90,403,24,W,Saint Louis, MO
39,46,12,N,94,404,23,W,Saint Joseph, MO
42,5,59,N,86,405,48,W,Saint Joseph, MI
44,25,11,N,72,406,11,W,Saint Johnsbury, VT
45,34,11,N,94,407,11,W,Saint Cloud, MN
29,53,23,N,81,408,11,W,Saint Augustine, FL
43,25,48,N,83,409,24,W,Saginaw, MI
38,35,24,N,121,410,23,W,Sacramento, CA
43,36,36,N,72,411,12,W,Rutland, VT
33,24,0,N,104,412,47,W,Roswell, NM
35,56,23,N,77,413,0,W,Rocky Mount, NC
41,35,24,N,109,414,48,W,Rock Springs, WY
42,16,12,N,89,415,59,W,Rockford, IL
43,9,35,N,77,416,36,W,Rochester, NY
44,1,12,N,92,417,35,W,Rochester, MN
37,16,12,N,79,418,24,W,Roanoke, VA
37,32,24,N,77,419,59,W,Richmond, VA
39,49,48,N,84,420,23,W,Richmond, IN
38,46,12,N,112,421,23,W,Richfield, UT
45,38,23,N,89,422,11,W,Rhinelander, WI
39,31,12,N,119,423,35,W,Reno, NV
50,25,11,N,104,424,0,W,Regina, SA
40,10,48,N,122,425,23,W,Red Bluff, CA
40,19,48,N,75,426,48,W,Reading, PA
41,9,35,N,81,427,23,W,Ravenna, OH 
